Job Title,Salary Estimate,Rating,Company Name,Location,Size,Sector,Revenue
Data Analyst,$100K-$152K (Glassdoor est.),,Cyclex Systems,"Austin, TX",,,
Research Scientist,$100K-$152K (Glassdoor est.),,Newormics LLC,"Austin, TX",,,
Data Engineer,$100K-$152K (Glassdoor est.),3.8,"Pilytix, LLC
3.8","Austin, TX",1 to 50 employees,,Unknown / Non-Applicable
Junior Data Analyst,$100K-$152K (Glassdoor est.),2.6,"Santanna Energy Services
2.6","Austin, TX",1 to 50 employees,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
Senior Data Scientist - Nationwide Opportunities,$100K-$152K (Glassdoor est.),3.9,"Amazon
3.9","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Analyst (Ryan White),$37K-$75K (Glassdoor est.),4.7,"AIDS Healthcare Foundation
4.7","Los Angeles, CA",1001 to 5000 employees,Health Care,$1 to $2 billion (USD)
Medical Laboratory Scientist (MLS),$84K-$101K (Glassdoor est.),4.1,"APN Staffing & Employment Solutions
4.1","Gilbert, AZ",1 to 50 employees,Business Services,$500 million to $1 billion (USD)
Data Engineer,$100K-$152K (Glassdoor est.),3.5,"Atos Syntel Inc.
3.5","Austin, TX",10000+ employees,Information Technology,$1 to $2 billion (USD)
"Data Analyst, Lead",$100K-$152K (Glassdoor est.),3.8,"Booz Allen Hamilton Inc.
3.8","Austin, TX",10000+ employees,Business Services,$5 to $10 billion (USD)
Microsoft Analytics Consultant,$100K-$152K (Glassdoor est.),3.7,"IBM
3.7","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Analyst,$100K-$152K (Glassdoor est.),3.5,"Robert Half
3.5","Austin, TX",10000+ employees,Business Services,$2 to $5 billion (USD)
Machine Learning Engineer (Imaging),$100K-$152K (Glassdoor est.),3.6,"Samsung Electronics
3.6","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
"Machine Learning Engineer - Fraud Engineering, Algorithms, and Risk",$100K-$152K (Glassdoor est.),4.1,"Apple
4.1","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Engineer II - ETL Engineer - Spectrum Enterprise,$100K-$152K (Glassdoor est.),2.9,"Spectrum
2.9","Austin, TX",10000+ employees,Telecommunications,$10+ billion (USD)
Strategic Data Analyst III - Strategic Planning Divsion,$100K-$152K (Glassdoor est.),3.9,"TxDOT
3.9","Austin, TX",10000+ employees,Government,Unknown / Non-Applicable
Machine Learning Engineer - Online Retail Analytics,$100K-$152K (Glassdoor est.),4.1,"Apple
4.1","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Learning and Development Business Intelligence Analyst,$100K-$152K (Glassdoor est.),4.5,"Rose International
4.5","Austin, TX",1001 to 5000 employees,Business Services,$100 to $500 million (USD)
Senior Data Scientist,$100K-$152K (Glassdoor est.),3.4,"Ultra Electronics, Advanced Tactical Systems
3.4","Austin, TX",1001 to 5000 employees,Aerospace & Defense,$500 million to $1 billion (USD)
Live Operations Data Analyst,$100K-$152K (Glassdoor est.),3.8,"Wargaming
3.8","Austin, TX",1001 to 5000 employees,Media,Unknown / Non-Applicable
Junior Data Engineer,$100K-$152K (Glassdoor est.),3.5,"ISHPI Information Technologies
3.5","Austin, TX",201 to 500 employees,Information Technology,$50 to $100 million (USD)
"Data Engineer, Apple Media Products",$102K-$179K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Associate Data Engineer,$100K-$152K (Glassdoor est.),3.2,"Scientific Games
3.2","Austin, TX",5001 to 10000 employees,Information Technology,$2 to $5 billion (USD)
Geospatial Software Developer and Data Scientist,$100K-$152K (Glassdoor est.),3.8,"Applied Research Laboratories
3.8","Austin, TX",501 to 1000 employees,Education,Unknown / Non-Applicable
Senior Data Scientist,$100K-$152K (Glassdoor est.),,ARDOR IT SOLUTIONS,"Austin, TX",51 to 200 employees,Information Technology,Unknown / Non-Applicable
DATA ENGINEER,$100K-$152K (Glassdoor est.),2.9,"Clinicient
2.9","Austin, TX",51 to 200 employees,Information Technology,$10 to $25 million (USD)
Data Analyst - People Analytics,$100K-$152K (Glassdoor est.),4.7,"OnlineMedEd
4.7","Austin, TX",51 to 200 employees,Education,Unknown / Non-Applicable
Data Engineer,$100K-$152K (Glassdoor est.),3.2,"Phunware, Inc
3.2","Austin, TX",51 to 200 employees,Information Technology,$25 to $50 million (USD)
Data Engineer,$100K-$152K (Glassdoor est.),4.7,"SADA
4.7","Austin, TX",51 to 200 employees,Information Technology,$50 to $100 million (USD)
Junior Data Analyst,$100K-$152K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Austin, TX",51 to 200 employees,Information Technology,$50 to $100 million (USD)
Product Manager - Data Science,$100K-$152K (Glassdoor est.),3.9,"The Zebra
3.9","Austin, TX",51 to 200 employees,Insurance,Unknown / Non-Applicable
Data Scientist,$100K-$163K (Glassdoor est.),3.8,"Dash Technologies Inc
3.8","Columbus, OH",1 to 50 employees,,Unknown / Non-Applicable
Data Scientist,$100K-$163K (Glassdoor est.),3.6,"Kognetics
3.6","Gahanna, OH",1 to 50 employees,,Unknown / Non-Applicable
Data Scientist/Engineer,$100K-$163K (Glassdoor est.),4.9,"Seamless AI
4.9","Columbus, OH",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Federal - Data Scientist,$100K-$163K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","Columbus, OH",1 to 50 employees,Information Technology,$10 to $25 million (USD)
"Data Scientist/Programmer, Sr. Analyst - Abbott Nutrition - Columbus, OH",$100K-$163K (Glassdoor est.),3.6,"Abbott Laboratories
3.6","Columbus, OH",10000+ employees,Health Care,$10+ billion (USD)
Junior Data Scientist,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Data Scientist/Modeler,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Data Scientist,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Forensic Genomics Research Scientist,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Data Scientist II,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Marketing Data Scientist,$100K-$163K (Glassdoor est.),3.3,"DSW
3.3","Columbus, OH",10000+ employees,Retail,$2 to $5 billion (USD)
Quantum Data Scientist (Industrial-Process sector),$100K-$163K (Glassdoor est.),3.7,"IBM
3.7","Columbus, OH",10000+ employees,Information Technology,$10+ billion (USD)
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$100K-$163K (Glassdoor est.),3.5,"Internal Revenue Service
3.5","Columbus, OH",10000+ employees,Government,Unknown / Non-Applicable
Data Scientist Associate Sr (DADS06) CCB ML & AI,$100K-$163K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","Columbus, OH",10000+ employees,Finance,$10+ billion (USD)
Data Scientist Sr. Associate - SALES SCIENCE,$100K-$163K (Glassdoor est.),3.9,"JPMorgan Chase & Co.
3.9","Columbus, OH",10000+ employees,Finance,$10+ billion (USD)
"Machine Learning Engineer - Fraud Engineering, Algorithms, and Risk",$102K-$179K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Research Scientist,$100K-$163K (Glassdoor est.),3.9,"The Ohio State University Wexner Medical Center
3.9","Columbus, OH",10000+ employees,Health Care,Unknown / Non-Applicable
Data Scientist,$100K-$163K (Glassdoor est.),3.1,"CAS
3.1","Columbus, OH",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
Data Analyst,$100K-$163K (Glassdoor est.),3.5,"Olive
3.5","Columbus, OH",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Data Analyst,$100K-$163K (Glassdoor est.),3.6,"ROSEN USA
3.6","Columbus, OH",201 to 500 employees,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
Data Scientist,$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Data Scientist (Analytics),$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Machine Learning Engineer,$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Senior Data Scientist,$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Data Science Manager,$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Video Coding & Machine Learning Engineer,$102K-$179K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Data Scientist *,$100K-$163K (Glassdoor est.),3.8,"Root Insurance
3.8","Columbus, OH",501 to 1000 employees,Insurance,$100 to $500 million (USD)
Data Scientist,$100K-$163K (Glassdoor est.),2.5,"Avacend, Inc.
2.5","Columbus, OH",51 to 200 employees,Business Services,Unknown / Non-Applicable
"Data Scientist, Analytics Architecture",$100K-$163K (Glassdoor est.),4.8,"Immuta
4.8","Columbus, OH",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Research Scientist - Data Science and Risk Analysis,$100K-$163K (Glassdoor est.),4.8,"Immuta
4.8","Columbus, OH",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Erwin Data Modeler,$100K-$172K (Glassdoor est.),,Callibus Inc,"Irving, TX",,,
Sr. Data Architect (contract-to-hire),$100K-$172K (Glassdoor est.),,RedRiver Systems L.L.C.,"Irving, TX",,,
Data Engineer/Irving TX/6+ months Contract,$100K-$172K (Glassdoor est.),,"Suncap Technology, Inc.","Irving, TX",,,
Principal Data ScientistFoundational Algorithm CRM Email,$100K-$172K (Glassdoor est.),4.4,"Ava Consulting
4.4","Dallas, TX",1 to 50 employees,Information Technology,Less than $1 million (USD)
IT Data Engineer,$100K-$172K (Glassdoor est.),,Incendia Partners,"Irving, TX",1 to 50 employees,Business Services,Less than $1 million (USD)
Federal - Data Engineer - Senior,$100K-$172K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","Irving, TX",1 to 50 employees,Information Technology,$10 to $25 million (USD)
Digital SW Eng Lead/Data Engineer,$100K-$172K (Glassdoor est.),3.4,"TECHNOCRAFT Solutions
3.4","Irving, TX",1 to 50 employees,Business Services,$1 to $5 million (USD)
Senior Data Engineer with Kafka-Yarn-Spark-HDFS and HIVE,$100K-$172K (Glassdoor est.),3.8,"Terminal Contacts LLC
3.8","Irving, TX",1 to 50 employees,Information Technology,Unknown / Non-Applicable
"Director, Network Optimization & Data Sciences",$100K-$172K (Glassdoor est.),3.2,"7-Eleven, Inc.
3.2","Irving, TX",10000+ employees,Retail,$1 to $2 billion (USD)
Sr. Big Data Engineer,$100K-$172K (Glassdoor est.),3.4,"Allstate
3.4","Irving, TX",10000+ employees,Insurance,$10+ billion (USD)
Senior. Data Engineer - Informatica,$100K-$172K (Glassdoor est.),3.6,"Charles Schwab Corporation
3.6","Westlake, TX",10000+ employees,Finance,$5 to $10 billion (USD)
Cyber Security Research Scientist 3 - Sr. Application Pentester,$100K-$172K (Glassdoor est.),3.6,"Wells Fargo
3.6","Irving, TX",10000+ employees,Finance,$10+ billion (USD)
Web Analytics Manager,$100K-$172K (Glassdoor est.),3.1,"Ace Cash Express
3.1","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Business Analyst/Data Consultant,$100K-$172K (Glassdoor est.),3.8,"Apex Systems
3.8","Irving, TX",1001 to 5000 employees,Business Services,$2 to $5 billion (USD)
Full Stack Data Engineer Irving AVP/C12,$100K-$172K (Glassdoor est.),3.8,"Citibank
3.8","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Cloud Data Engineer,$100K-$172K (Glassdoor est.),2.5,"Cottonwood Financial
2.5","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Sr. Data Engineer,$100K-$172K (Glassdoor est.),2.9,"Hilltop Holdings, Inc.
2.9","Irving, TX",1001 to 5000 employees,Finance,$1 to $2 billion (USD)
Data Modeler (Healthcare Claims),$100K-$172K (Glassdoor est.),3.2,"Net2Source
3.2","Irving, TX",1001 to 5000 employees,Business Services,$100 to $500 million (USD)
Sr. Data Engineer,$100K-$172K (Glassdoor est.),3,"Photon Infotech
3.0","Irving, TX",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
Sr Data Engineer,$100K-$172K (Glassdoor est.),3,"Photon Infotech
3.0","Irving, TX",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
Senior Developer - Data Engineer |,$100K-$172K (Glassdoor est.),3,"Photon Infotech
3.0","Irving, TX",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
Web Analytics Manager,$100K-$172K (Glassdoor est.),3.5,"Populus Financial Group
3.5","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Data Engineer 3,$100K-$172K (Glassdoor est.),3,"Intelliswift Software Inc
3.0","Plano, TX",201 to 500 employees,Business Services,$50 to $100 million (USD)
Arlington Data Science Tutor Jobs,$100K-$172K (Glassdoor est.),4.2,"Varsity Tutors
4.2","Arlington, TX",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Grand Prairie Data Science Tutor Jobs,$100K-$172K (Glassdoor est.),4.2,"Varsity Tutors
4.2","Grand Prairie, TX",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Principal data engineer,$100K-$172K (Glassdoor est.),3,"CoreLogic
3.0","Irving, TX",5001 to 10000 employees,Information Technology,$1 to $2 billion (USD)
"Principal,Software/ Data Engineer",$100K-$172K (Glassdoor est.),3,"CoreLogic
3.0","Irving, TX",5001 to 10000 employees,Information Technology,$1 to $2 billion (USD)
Sr. Big Data Engineer,$100K-$172K (Glassdoor est.),3.7,"Cincinnati Bell Technology Solutions
3.7","Irving, TX",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
DATA ENGINEER / DATA ANALYST,$100K-$172K (Glassdoor est.),3.9,"Diverse Lynx
3.9","Plano, TX",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
Sr. Big data Ebgineer,$100K-$172K (Glassdoor est.),3.9,"Diverse Lynx
3.9","Irving, TX",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
"Big Data Engineer/Tech Lead,",$100K-$172K (Glassdoor est.),3.9,"Diverse Lynx
3.9","Irving, TX",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
Big Data Engineer/Tech Lead,$100K-$172K (Glassdoor est.),3.9,"Diverse Lynx
3.9","Irving, TX",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
Big Data Engineer/Spark Expert/ Tech Lead,$100K-$172K (Glassdoor est.),3.9,"Diverse Lynx
3.9","Irving, TX",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
Test Data Engineer,$100K-$172K (Glassdoor est.),2.5,"Avacend, Inc.
2.5","Irving, TX",51 to 200 employees,Business Services,Unknown / Non-Applicable
Claims Data Analyst,$100K-$172K (Glassdoor est.),4,"Lightbeam Health Solutions
4.0","Irving, TX",51 to 200 employees,Health Care,$5 to $10 million (USD)
Big Data Engineer with Cassandra and Spark,$100K-$172K (Glassdoor est.),,LiveMindz,"Dallas, TX",51 to 200 employees,,Unknown / Non-Applicable
Hadoop Developer / Big Data Engineer / senior Data Engineer,$100K-$172K (Glassdoor est.),4,"Object Technology Solutions, Inc.
4.0","Irving, TX",51 to 200 employees,Information Technology,$25 to $50 million (USD)
Data Analyst (Games),$102K-$121K (Glassdoor est.),,Carry1st,"New York, NY",,,
Data Scientist,$102K-$121K (Glassdoor est.),,Glean Analytics Inc.,"New York, NY",,,
Data Scientist,$102K-$121K (Glassdoor est.),,GradTests (gradtests.com),"New York, NY",,,
Sports Betting Data Scientist,$102K-$121K (Glassdoor est.),,Line Sniper,"New York, NY",,,
Senior Data Scientist,$102K-$121K (Glassdoor est.),4.5,"Arena
4.5","New York, NY",1 to 50 employees,Information Technology,Less than $1 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),2.8,"Committee of 100
2.8","New York, NY",1 to 50 employees,Non-Profit,$1 to $5 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","New York, NY",1 to 50 employees,Accounting & Legal,Less than $1 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),4,"OneWire
4.0","New York, NY",1 to 50 employees,Business Services,$1 to $5 million (USD)
"Data Scientist / Analytics, Data Engineering",$102K-$121K (Glassdoor est.),1,"Sphinix Solutions
1.0","New York, NY",1 to 50 employees,Information Technology,Less than $1 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),3.6,"Spring Health
3.6","New York, NY",1 to 50 employees,Health Care,Unknown / Non-Applicable
Data Scientist,$102K-$121K (Glassdoor est.),4.8,"TechProjects
4.8","New York, NY",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Data Scientist (Java),$102K-$121K (Glassdoor est.),4.9,"ubergig
4.9","New York, NY",1 to 50 employees,Business Services,$5 to $10 million (USD)
Data Scientist - Demand Forecasting,$102K-$121K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,Information Technology,$10+ billion (USD)
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$102K-$121K (Glassdoor est.),3.5,"Internal Revenue Service
3.5","New York, NY",10000+ employees,Government,Unknown / Non-Applicable
Data Science Specialist USA,$102K-$121K (Glassdoor est.),3.3,"Mphasis limited
3.3","New York, NY",10000+ employees,Information Technology,$1 to $2 billion (USD)
Data Scientist,$102K-$121K (Glassdoor est.),3.7,"Audible
3.7","Newark, NJ",1001 to 5000 employees,Media,Unknown / Non-Applicable
Quantitative Analyst Intern,$102K-$121K (Glassdoor est.),4.4,"D. E. Shaw & Co.
4.4","New York, NY",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Senior Data Scientist,$102K-$121K (Glassdoor est.),3.8,"Grubhub
3.8","New York, NY",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
"Senior Data Scientist, Game Analytics",$102K-$121K (Glassdoor est.),4.1,"Rockstar Games
4.1","New York, NY",1001 to 5000 employees,Media,$10 to $25 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),2.7,"TBWA\Chiat\Day
2.7","New York, NY",1001 to 5000 employees,Business Services,$100 to $500 million (USD)
"Data Scientist, Two Sigma Private Investments",$102K-$121K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Senior Data Scientist,$102K-$121K (Glassdoor est.),2.5,"Foursquare
2.5","New York, NY",201 to 500 employees,Information Technology,Unknown / Non-Applicable
"Quantitative Developer, Data & Institutional Markets",$102K-$121K (Glassdoor est.),4.4,"Ripple
4.4","New York, NY",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Data Scientist,$102K-$121K (Glassdoor est.),3.4,"Thomas
3.4","New York, NY",201 to 500 employees,Business Services,Unknown / Non-Applicable
Data Analyst,$102K-$121K (Glassdoor est.),4,"DMGT
4.0","New York, NY",5001 to 10000 employees,Finance,$1 to $2 billion (USD)
Data Scientist,$102K-$121K (Glassdoor est.),3.4,"Harry and David, LLC
3.4","Carle Place, NY",501 to 1000 employees,Retail,$100 to $500 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),3.6,"Strategic Financial Solutions
3.6","New York, NY",501 to 1000 employees,Consumer Services,Unknown / Non-Applicable
Machine Learning & Data Engineer (Remote),$102K-$121K (Glassdoor est.),4.7,"Jun Group Productions LLC
4.7","New York, NY",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Data Scientist / Statistician,$102K-$121K (Glassdoor est.),4.2,"NJF Global Holdings
4.2","New York, NY",51 to 200 employees,Business Services,$10 to $25 million (USD)
Data Scientist,$102K-$121K (Glassdoor est.),5,"SkillSoniq
5.0","New York, NY",Unknown,,Unknown / Non-Applicable
Data Scientist,$102K-$164K (Glassdoor est.),,GradTests (gradtests.com),"Los Angeles, CA",,,
Data Scientist,$102K-$164K (Glassdoor est.),4.2,"Aviana Global Technologies
4.2","Brea, CA",1 to 50 employees,Information Technology,$10 to $25 million (USD)
Data Analyst - LA,$102K-$164K (Glassdoor est.),4.7,"BlueLabs
4.7","Los Angeles, CA",1 to 50 employees,Business Services,Unknown / Non-Applicable
Data Scientist/Lead Data Scientist - LA,$102K-$164K (Glassdoor est.),4.7,"BlueLabs
4.7","Los Angeles, CA",1 to 50 employees,Business Services,Unknown / Non-Applicable
Data Scientist,$102K-$164K (Glassdoor est.),4.6,"Mythical Games
4.6","Los Angeles, CA",1 to 50 employees,Media,Unknown / Non-Applicable
Senior Data Scientist,$102K-$164K (Glassdoor est.),3.6,"Steady
3.6","Los Angeles, CA",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Data Scientist,$102K-$164K (Glassdoor est.),3.9,"Amazon
3.9","Santa Monica, CA",10000+ employees,Information Technology,$10+ billion (USD)
"AI/ML - Machine Learning Scientist, Siri Understanding",$111K-$175K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Data Scientist 2,$102K-$164K (Glassdoor est.),3.6,"Humana
3.6","Torrance, CA",10000+ employees,Insurance,$10+ billion (USD)
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$102K-$164K (Glassdoor est.),3.5,"Internal Revenue Service
3.5","Los Angeles, CA",10000+ employees,Government,Unknown / Non-Applicable
Data Scientist,$102K-$164K (Glassdoor est.),3.2,"Ipsos
3.2","Culver City, CA",10000+ employees,Business Services,$1 to $2 billion (USD)
Junior Data Scientist,$102K-$164K (Glassdoor est.),3.8,"NBC Universal
3.8","Universal City, CA",10000+ employees,Media,$10+ billion (USD)
Data Scientist,$102K-$164K (Glassdoor est.),3.8,"Hulu
3.8","Santa Monica, CA",1001 to 5000 employees,Media,$1 to $2 billion (USD)
Public Policy Data Analyst,$102K-$164K (Glassdoor est.),4,"Netflix, Inc.
4.0","Los Angeles, CA",1001 to 5000 employees,Information Technology,$5 to $10 billion (USD)
Data Scientist,$102K-$164K (Glassdoor est.),3.9,"The Aerospace Corporation
3.9","El Segundo, CA",1001 to 5000 employees,Aerospace & Defense,$1 to $2 billion (USD)
Senior Data Scientist,$102K-$164K (Glassdoor est.),3.8,"TikTok
3.8","Los Angeles, CA",1001 to 5000 employees,Information Technology,Unknown / Non-Applicable
Data Scientist,$102K-$164K (Glassdoor est.),3.9,"Acorns
3.9","Anaheim, CA",201 to 500 employees,Finance,Unknown / Non-Applicable
Lead Data Analyst,$102K-$164K (Glassdoor est.),3.4,"Headspace
3.4","Santa Monica, CA",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Data Scientist - Product,$102K-$164K (Glassdoor est.),4.4,"Honey
4.4","Los Angeles, CA",201 to 500 employees,Information Technology,$100 to $500 million (USD)
Data Analyst (Apex Legends),$102K-$164K (Glassdoor est.),3.9,"Electronic Arts
3.9","Los Angeles, CA",5001 to 10000 employees,Media,$2 to $5 billion (USD)
Data Scientist,$102K-$164K (Glassdoor est.),3.9,"BlackLine
3.9","Woodland Hills, CA",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
Data Analyst Healthcare - Experienced or Entry Level,$102K-$164K (Glassdoor est.),3.1,"Delmarva Foundation
3.1","Cerritos, CA",501 to 1000 employees,Business Services,$50 to $100 million (USD)
Senior Data Scientist,$102K-$164K (Glassdoor est.),3.9,"Jam City
3.9","Culver City, CA",501 to 1000 employees,Media,Unknown / Non-Applicable
"AVP, Quantitative Analyst, Portfolio Analytics, Risk and Reporting",$102K-$164K (Glassdoor est.),3.4,"Oaktree Capital Management
3.4","Los Angeles, CA",501 to 1000 employees,Finance,$1 to $2 billion (USD)
Data Scientist,$102K-$164K (Glassdoor est.),2.9,"Starz
2.9","Santa Monica, CA",501 to 1000 employees,Media,$1 to $2 billion (USD)
Data Engineer,$102K-$164K (Glassdoor est.),3.7,"Albert (CA)
3.7","Los Angeles, CA",51 to 200 employees,Finance,Unknown / Non-Applicable
Data Scientist,$102K-$164K (Glassdoor est.),4.2,"Beyond Limits
4.2","Glendale, CA",51 to 200 employees,Business Services,Unknown / Non-Applicable
Data Scientist - Product,$102K-$164K (Glassdoor est.),2.3,"Honey
2.3","Los Angeles, CA",51 to 200 employees,Retail,Unknown / Non-Applicable
Data Scientist,$102K-$164K (Glassdoor est.),3.7,"mPulse Mobile
3.7","Los Angeles, CA",51 to 200 employees,Health Care,Unknown / Non-Applicable
Senior Data Scientist,$102K-$164K (Glassdoor est.),4.5,"Strivr
4.5","Los Angeles, CA",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Federal - Data Engineer - Senior,$102K-$179K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","San Jose, CA",1 to 50 employees,Information Technology,$10 to $25 million (USD)
Principal Data Scientist - 70445BR,$102K-$179K (Glassdoor est.),3.3,"Aetna
3.3","Cupertino, CA",10000+ employees,Insurance,$10+ billion (USD)
Sr Medical Data Scientist,$102K-$179K (Glassdoor est.),3.9,"Amazon
3.9","Sunnyvale, CA",10000+ employees,Information Technology,$10+ billion (USD)
Data Scientist (ML Evaluation in Health Sensing),$111K-$175K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
"Data Scientist, SPG Systems Engineering",$111K-$175K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Data Engineer / Scientist,$111K-$175K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Machine Learning Scientist,$112K-$178K (Glassdoor est.),4.1,"Apple
4.1","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Science Engineer,$112K-$178K (Glassdoor est.),4.1,"Apple
4.1","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Engineer 3,$102K-$179K (Glassdoor est.),3.9,"PayPal
3.9","San Jose, CA",10000+ employees,Information Technology,$10+ billion (USD)
Business Intelligence Analyst,$102K-$179K (Glassdoor est.),3.9,"PayPal
3.9","San Jose, CA",10000+ employees,Information Technology,$10+ billion (USD)
Data Analyst,$102K-$179K (Glassdoor est.),3.5,"Robert Half
3.5","Sunnyvale, CA",10000+ employees,Business Services,$2 to $5 billion (USD)
Data Engineer,$102K-$179K (Glassdoor est.),3.7,"ServiceNow
3.7","Santa Clara, CA",10000+ employees,Information Technology,$2 to $5 billion (USD)
Principal Data Engineer,$102K-$179K (Glassdoor est.),3.8,"eHealth
3.8","Santa Clara, CA",1001 to 5000 employees,Insurance,$100 to $500 million (USD)
Data Analyst,$102K-$179K (Glassdoor est.),3.9,"Artech LLC
3.9","Sunnyvale, CA",5001 to 10000 employees,Business Services,$500 million to $1 billion (USD)
"Senior Data Scientist, Ad Platforms",$112K-$178K (Glassdoor est.),4.1,"Apple
4.1","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Engineer,$102K-$179K (Glassdoor est.),3.9,"Diverse Lynx
3.9","San Jose, CA",501 to 1000 employees,Information Technology,$100 to $500 million (USD)
"Manager, Data Science - Growth Machine Learning",$102K-$179K (Glassdoor est.),4.6,"Livongo
4.6","Mountain View, CA",501 to 1000 employees,Health Care,Unknown / Non-Applicable
